portal,role_query,title,company,location,url,posted,scraped_at
LinkedIn,TPM,Site Director,Glanbia Nutritionals,"Sharonville, OH",https://www.linkedin.com/jobs/view/site-director-at-glanbia-nutritionals-4296836475?position=27&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=lT4ICUnaShKx12adkG0RLg%3D%3D,7 months ago,2026-04-21T12:09:52.001073
LinkedIn,TPM,Program Manager (CapEx),WHOOP,"Boston, MA",https://www.linkedin.com/jobs/view/program-manager-capex-at-whoop-4268342450?position=28&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=mf5rPeuwmNPPsZIRNZON4w%3D%3D,2 weeks ago,2026-04-21T12:09:52.001073
LinkedIn,TPM,Continuous Improvement Specialist,Zeus,"Columbia, South Carolina Metropolitan Area",https://www.linkedin.com/jobs/view/continuous-improvement-specialist-at-zeus-4392454033?position=29&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=kYmNeaxGV1NbRGeFq8p%2BpQ%3D%3D,2 weeks ago,2026-04-21T12:09:52.002072
LinkedIn,TPM,"Data Scientist, Analytics (Technical Leadership)",Meta,"Washington, DC",https://www.linkedin.com/jobs/view/data-scientist-analytics-technical-leadership-at-meta-4254365968?position=30&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=Gw4uULCNXL3j6vB2KYKOJA%3D%3D,5 days ago,2026-04-21T12:09:52.002072
LinkedIn,Technical Program Manager,Strategic Program Manager,Samsara,United States,https://www.linkedin.com/jobs/view/strategic-program-manager-at-samsara-4391955552?position=1&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=V6dYhkaoqN7FLqTklltEdw%3D%3D,4 days ago,2026-04-21T12:09:52.462990
LinkedIn,Technical Program Manager,Senior Technical Program Manager,Roku,"San Jose, CA",https://www.linkedin.com/jobs/view/senior-technical-program-manager-at-roku-4401395672?position=2&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=OuNFymbgMMuSy3%2FfPOrLQw%3D%3D,1 week ago,2026-04-21T12:09:52.462990
LinkedIn,Technical Program Manager,"Senior Program Manager, Viewer Platform",Roku,"San Jose, CA",https://www.linkedin.com/jobs/view/senior-program-manager-viewer-platform-at-roku-4333111348?position=3&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=0bIijTktAHsqnHe8P%2Bgg0A%3D%3D,3 weeks ago,2026-04-21T12:09:52.462990
LinkedIn,Technical Program Manager,"Senior Program Manager, The Roku Channel (Cross Platform)",Roku,"San Jose, CA",https://www.linkedin.com/jobs/view/senior-program-manager-the-roku-channel-cross-platform-at-roku-4381616516?position=4&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=VwCMiY%2FTD3odvI9tuZsZCg%3D%3D,4 days ago,2026-04-21T12:09:52.462990
LinkedIn,Technical Program Manager,"Technical Program Manager, Voice",Roku,"Austin, TX",https://www.linkedin.com/jobs/view/technical-program-manager-voice-at-roku-4388505954?position=5&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=GleJ5bRIx%2FOvyAUoRJx6vw%3D%3D,1 week ago,2026-04-21T12:09:52.462990
LinkedIn,Technical Program Manager,"Senior Program Manager, Workday",Roku,"Austin, TX",https://www.linkedin.com/jobs/view/senior-program-manager-workday-at-roku-4386553525?position=6&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=d%2FgTLSRjqRXo%2BxW1IOnW1Q%3D%3D,2 weeks ago,2026-04-21T12:09:52.462990
LinkedIn,Technical Program Manager,Senior Program Manager,MediaTek,"Bellevue, WA",https://www.linkedin.com/jobs/view/senior-program-manager-at-mediatek-4314705013?position=7&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=%2BZoXXvmSqByf7cj3Px5Pyg%3D%3D,1 week ago,2026-04-21T12:09:52.462990
LinkedIn,Technical Program Manager,Technical Program Manager,Acorns,United States,https://www.linkedin.com/jobs/view/technical-program-manager-at-acorns-4393223315?position=8&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=VqxZUSSUkAkaOTU3I45oSg%3D%3D,3 weeks ago,2026-04-21T12:09:52.463990
LinkedIn,Technical Program Manager,"Senior Product Program Manager, Roadmap Planning & Program Management",Airbnb,"San Francisco, CA",https://www.linkedin.com/jobs/view/senior-product-program-manager-roadmap-planning-program-management-at-airbnb-4282112104?position=9&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=t01G38V0v5xKlHrhXmmtnw%3D%3D,3 weeks ago,2026-04-21T12:09:52.463990
LinkedIn,Technical Program Manager,"Sr. Manager, Technical Programs",Verkada,"San Mateo, CA",https://www.linkedin.com/jobs/view/sr-manager-technical-programs-at-verkada-4250677558?position=10&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=OSKCmgH1icEXqs9W5GdmTA%3D%3D,1 week ago,2026-04-21T12:09:52.463990
LinkedIn,Technical Program Manager,"Sr. Staff Technical Program Manager, Core Infrastructure",LinkedIn,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/sr-staff-technical-program-manager-core-infrastructure-at-linkedin-4391886616?position=11&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=0vt%2FBMbLvI8QYhxQ3%2F7VTQ%3D%3D,2 hours ago,2026-04-21T12:09:52.463990
LinkedIn,Technical Program Manager,Sr. Program Manager,AMD,"Austin, TX",https://www.linkedin.com/jobs/view/sr-program-manager-at-amd-4400870839?position=12&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=ASKInqIr0RTMhnh%2BenkeEQ%3D%3D,3 days ago,2026-04-21T12:09:52.463990
LinkedIn,Technical Program Manager,Technical Program Manager: Platform Deployments,Simplesense,"Denver, CO",https://www.linkedin.com/jobs/view/technical-program-manager-platform-deployments-at-simplesense-4394934457?position=13&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=f4%2Fu7H1G3PwpcCBKfZIuxg%3D%3D,2 weeks ago,2026-04-21T12:09:52.463990
LinkedIn,Technical Program Manager,Technical Program Manager L6 - Messaging,Netflix,"Los Gatos, CA",https://www.linkedin.com/jobs/view/technical-program-manager-l6-messaging-at-netflix-4396174264?position=14&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=KXVcIwnUZvYjkdcBF7VQCA%3D%3D,2 weeks ago,2026-04-21T12:09:52.463990
LinkedIn,Technical Program Manager,Technical Program Manager,Meta,"Menlo Park, CA",https://www.linkedin.com/jobs/view/technical-program-manager-at-meta-4120830084?position=15&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=xEItEgF%2F6D2YMszBdo5NjQ%3D%3D,5 days ago,2026-04-21T12:09:52.463990
LinkedIn,Technical Program Manager,Technical Program Manager,Meta,United States,https://www.linkedin.com/jobs/view/technical-program-manager-at-meta-4120826430?position=16&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=9iAw123kNjZWPFQigy18ow%3D%3D,4 days ago,2026-04-21T12:09:52.463990
LinkedIn,Technical Program Manager,Technical Program Manager 5 - Ads Reporting,Netflix,"New York, NY",https://www.linkedin.com/jobs/view/technical-program-manager-5-ads-reporting-at-netflix-4396853941?position=17&pageNum=0&refId=mqbB2pImSJD7rJ44GdA25w%3D%3D&trackingId=ruCd6EHMthv0nj55ex3Aaw%3D%3D,2 weeks ago,2026-04-21T12:09:52.464990
